up;feup;mieic;Realidade Virtual e Aumentada;rvau;Optional;15;Interaccao e Multimedia;5;1;6
up;feup;mieic;Robotica;robo;Optional;15;Inteligencia Artificial;5;1;6
up;feup;mieic;Seguranca em Sistemas Informaticos;ssin;Optional;15;Sistemas Operativos e Redes;5;1;6
up;feup;mieic;Seminario de Engenharia de Software e Sistemas de Informacao;sesi;Optional;15;Sistemas de Informacao;5;1;6
up;feup;mieic;Seminario de Redes e Tecnologias da Informacao;srti;Optional;15;Sistemas Operativos e Redes;5;1;6
up;feup;mieic;Seminario de Sistemas Inteligentes, Interaccao e Multimedia;ssim;Optional;15;Interaccao e Multimedia;5;1;6
up;feup;mieic;Servicos de Rede e de Sistema;srsi;Optional;15;Sistemas Operativos e Redes;5;1;6
up;feup;mieic;Sistemas de Apoio a Decisao;sade;Optional;15;Metodos Quantitativos e Gestao;5;1;6
up;feup;mieic;Teste, Verificacao e Validacao de Software;tvvs;Optional;15;Engenharia de Software;5;1;6
up;feup;mieic;Visao por Computador;vcom;Optional;15;Interaccao e Multimedia;5;1;6
up;feup;mieic;Preparação da Dissertação;diss;Mandatory;30;5;1;6
up;feup;mieic;Dissertacao;diss;Mandatory;30;5;2;30
